,Company_Brand,Sector,Stage,Funding_Year,Amount($),HeadQuarter,Year_Founded,Sector_group
398,Cred,Unknown,Early Stage,2018,121526423.72,Bangalore,Unknown,Other
399,Meesho,E-Commerce,Series (A-H),2018,50000000.0,Bangalore,Unknown,E-Commerce & Marketplace
400,BhaskarGuru,Search Engine,Early Stage,2018,1000000.0,Bhopal,Unknown,Other
401,Gugu,Battery,Early Stage,2018,250000.0,Coimbatore,Unknown,Other
402,FarmTaaza,Agriculture,Series (A-H),2018,121526423.72,Bangalore,Unknown,Food & Agriculture
403,Vizzbee,Artificial Intelligence,Early Stage,2018,20000.0,Bhopal,Unknown,Other
404,BIGPHI TECHNOLOGIES PVT. LTD.,Fashion,Angel and Grants,2018,900000.0,Bangalore,Unknown,Other
405,Mobycy,Fitness,Angel and Grants,2018,121526423.72,Gurugram,Unknown,Other
406,Traveo Soft Pvt. Ltd.,Mobile,Unknown,2018,17520.0,Bangalore,Unknown,Other
407,Em Personal Care,Cosmetics,Early Stage,2018,121526423.72,Worli,Unknown,Other
408,Lucideus,Consulting,Unknown,2018,5000000.0,New Delhi,Unknown,Consulting & Services
409,Eupheus Learning,E-Learning,Early Stage,2018,121526423.72,Delhi,Unknown,Other
410,GamingMonk,eSports,Series (A-H),2018,584000.0,New Delhi,Unknown,Other
411,Sukkhi Jewellery,Fashion,Unknown,2018,7446000.0,Mumbai,Unknown,Other
412,INDwealth,Financial Services,Early Stage,2018,32120000.0,Gurugram,Unknown,Consulting & Services
413,Medikabazaar,B2B,Series (A-H),2018,5000000.0,Mumbai,Unknown,Other
414,NIRA,Credit,Early Stage,2018,1000000.0,Bangalore,Unknown,Finance & Banking
415,Duroflex Pvt. Ltd.,Consumer Goods,Latter Stage,2018,22000000.0,Alleppey,Unknown,Other
416,Clensta,Biotechnology,Early Stage,2018,121526423.72,New Delhi,Unknown,Technology
417,Jetbrain Robotics,Health Care,Early Stage,2018,70000.0,Gurugram,Unknown,Healthcare
418,Medimetry,Health Care,Early Stage,2018,121526423.72,Haryana,Unknown,Healthcare
419,Healthkart,E-Commerce,Unknown,2018,10000000.0,Gurugram,Unknown,E-Commerce & Marketplace
420,Indiabulls Ventures,Financial Services,Latter Stage,2018,224723200.0,Mumbai,Unknown,Consulting & Services
421,Vistara,Aerospace,Latter Stage,2018,292000000.0,Haryana,Unknown,Other
422,ClearTax,Accounting,Series (A-H),2018,58400000.0,New Delhi,Unknown,Finance & Banking
423,Shuttl,Apps,Latter Stage,2018,1000000.0,Gurugram,Unknown,Other
424,GuruQ,Reading Apps,Early Stage,2018,365000.0,New Delhi,Unknown,Other
425,Azure Power,Energy,Latter Stage,2018,185000000.0,New Delhi,Unknown,Other
426,Cube,Banking,Series (A-H),2018,2044000.0,Mumbai,Unknown,Finance & Banking
427,RAHI Care,Health Care,Unknown,2018,121526423.72,Chandigarh,Unknown,Healthcare
428,Mynvax,Biotechnology,Angel and Grants,2018,121526423.72,Bangalore,Unknown,Technology
429,Loans4SME,Financial Services,Early Stage,2018,121526423.72,Mumbai,Unknown,Consulting & Services
430,UpCyclersLab,Apps,Early Stage,2018,121526423.72,Mumbai,Unknown,Other
431,Cellerite Systems,Electric Vehicle,Early Stage,2018,121526423.72,Hyderabad,Unknown,Other
432,Taru Naturals,Agriculture,Early Stage,2018,121526423.72,Mumbai,Unknown,Food & Agriculture
433,LetsMD,Fitness,Early Stage,2018,1000000.0,New Delhi,Unknown,Other
434,Twenty Two Motors,Automotive,Latter Stage,2018,65000000.0,Haryana,Unknown,Autommotive & Transportation
435,Truebil,Automotive,Series (A-H),2018,2000000.0,Mumbai,Unknown,Autommotive & Transportation
436,FarmersFZ,Agriculture,Early Stage,2018,121526423.72,Kochi,Unknown,Food & Agriculture
437,Worxogo,Information Technology,Series (A-H),2018,2409000.0,Bangalore,Unknown,Technology
438,Vivish Technologies (myGate),Apps,Series (A-H),2018,9490000.0,Bangalore,Unknown,Other
439,Singularity Dynamics,Artificial Intelligence,Early Stage,2018,121526423.72,Bangalore,Unknown,Other
440,Virtual MetalStreet(MetalStreet),B2B,Angel and Grants,2018,700000.0,Bangalore,Unknown,Other
441,Veritas Finance,Financial Services,Unknown,2018,30000000.0,Guindy,Unknown,Consulting & Services
442,Manjushree Technopack,Packaging Services,Latter Stage,2018,121526423.72,Bangalore,Unknown,Consulting & Services
443,GoZefo,Computer,Unknown,2018,3066000.0,Bangalore,Unknown,Other
444,Zomato,Food Delivery,Latter Stage,2018,210000000.0,Gurugram,Unknown,Food & Agriculture
445,Innov8 Coworking,Collaboration,Early Stage,2018,4000000.0,New Delhi,Unknown,Other
446,RevFin,Accounting,Early Stage,2018,121526423.72,Delhi,Unknown,Finance & Banking
447,Lavelle Networks,Cloud Computing,Unknown,2018,292000.0,Bangalore,Unknown,Other
448,Blackbuck,Information Services,Series (A-H),2018,29632160.0,Bangalore,Unknown,Consulting & Services
449,Cardekho,Automotive,Series (A-H),2018,75000000.0,Gurugram,Unknown,Autommotive & Transportation
450,ElasticRun,Delivery,Series (A-H),2018,8760000.0,Pune,Unknown,Other
451,Droom Technology Private Limited,Automotive,Series (A-H),2018,30000000.0,Gurugram,Unknown,Autommotive & Transportation
452,Vogo Rentals,Last Mile Transportation,Latter Stage,2018,1168000.0,Kormangala,Unknown,Autommotive & Transportation
453,InnerChef,Cooking,Unknown,2018,1760000.0,Gurugram,Unknown,Other
454,LivQuik,FinTech,Latter Stage,2018,2700000.0,Mumbai,Unknown,Technology
455,Disprz,E-Learning,Latter Stage,2018,400000.0,Chennai,Unknown,Other
456,9stacks,Online Games,Series (A-H),2018,4088000.0,Delhi,Unknown,Other
457,Origo,Unknown,Unknown,2018,11680000.0,Gurugram,Unknown,Other
458,YourOwnROOM,Online Portals,Early Stage,2018,750000.0,Bangalore,Unknown,Other
459,Vahdam Teas,E-Commerce,Series (A-H),2018,2500000.0,New Delhi,Unknown,E-Commerce & Marketplace
460,Spoofin,Music,Unknown,2018,121526423.72,New Delhi,Unknown,Other
461,Strom Motors,Automotive,Angel and Grants,2018,121526423.72,Mumbai,Unknown,Autommotive & Transportation
462,PharmEasy,Health Care,Series (A-H),2018,80000000.0,Mumbai,Unknown,Healthcare
463,Licious,Delivery Service,Series (A-H),2018,25000000.0,Bangalore,Unknown,Other
464,Stanza Living,Hospitality,Unknown,2018,10658000.0,New Delhi,Unknown,Other
465,docturnal,Biotechnology,Early Stage,2018,121526423.72,Hyderabad,Unknown,Technology
466,Bounce (Metro Bikes),Autonomous Vehicles,Latter Stage,2018,3000000.0,Bangalore,Unknown,Autommotive & Transportation
467,Technology 9 Labs (T9L),Information Technology,Latter Stage,2018,121526423.72,New Delhi,Unknown,Technology
468,Goals101,Financial Services,Early Stage,2018,3500000.0,Delhi,Unknown,Consulting & Services
469,Satya MicroCapital,Finance,Unknown,2018,5840000.0,New Delhi,Unknown,Finance & Banking
470,Ummeed Housing Finance Private Limited,Finance,Series (A-H),2018,8760000.0,Haryana,Unknown,Finance & Banking
471,StockEdge,Analytics,Early Stage,2018,1100000.0,Kolkata,Unknown,Other
472,Sequretek,Unknown,Unknown,2018,3700000.0,Mumbai,Unknown,Other
473,Avenues Payments India Pvt. Ltd.,Unknown,Latter Stage,2018,1300000.0,Mumbai,Unknown,Other
474,Qbera,Finance,Unknown,2018,2044000.0,Bangalore,Unknown,Finance & Banking
475,Urban Ladder,E-Commerce,Latter Stage,2018,5600000.0,Bangalore,Unknown,E-Commerce & Marketplace
476,Planet11 eCommerce Solutions India (Avenue11),Unknown,Latter Stage,2018,3796000.0,Bangalore,Unknown,Other
477,DailyNinja,Apps,Series (A-H),2018,121526423.72,Bangalore,Unknown,Other
478,Iba Halal Care,Unknown,Series (A-H),2018,2190000.0,Ahmedabad,Unknown,Other
479,Knocksense,News,Early Stage,2018,121526423.72,Lucknow,Unknown,Other
480,Togedr,Unknown,Unknown,2018,121526423.72,Gurugram,Unknown,Other
481,Parkwheels,Industrial,Early Stage,2018,175200.0,Haryana,Unknown,Other
482,ShareChat,Internet,Series (A-H),2018,99230000.0,Bangalore,Unknown,Technology
483,Cyclops Medtech,Health Care,Early Stage,2018,1000000.0,Bangalore,Unknown,Healthcare
484,Livspace,E-Commerce,Series (A-H),2018,70000000.0,Bangalore,Unknown,E-Commerce & Marketplace
485,NewsBytes,Apps,Early Stage,2018,1000000.0,Gurugram,Unknown,Other
486,Leena AI,Artificial Intelligence,Early Stage,2018,2000000.0,Gurugram,Unknown,Other
487,Max Healthcare,Health Care,Latter Stage,2018,121526423.72,New Delhi,Unknown,Healthcare
488,GoBolt,Logistics,Unknown,2018,5840000.0,New Delhi,Unknown,Autommotive & Transportation
489,GoGaga,Dating,Latter Stage,2018,40000.0,Bangalore City,Unknown,Other
490,Mate Labs,Artificial Intelligence,Early Stage,2018,550000.0,Bangalore,Unknown,Other
491,Furlenco,Consumer,Series (A-H),2018,121526423.72,Bangalore,Unknown,Other
492,Ola,Apps,Unknown,2018,50000000.0,Kormangala,Unknown,Other
493,DocPrime,Health Care,Latter Stage,2018,50000000.0,Haryana,Unknown,Healthcare
494,CLP India Pvt. Ltd.,Energy,Latter Stage,2018,365000000.0,Mumbai,Unknown,Other
495,Xplorabox,E-Commerce,Early Stage,2018,121526423.72,Noida,Unknown,E-Commerce & Marketplace
496,Myra,Apps,Unknown,2018,127750.0,Bangalore,Unknown,Other
497,Vokal,Internet,Series (A-H),2018,1500000.0,Bangalore,Unknown,Technology
498,Kissht,Credit,Series (A-H),2018,30000000.0,Mumbai,Unknown,Finance & Banking
499,Upwards Fintech,Banking,Series (A-H),2018,5000000.0,Mumbai,Unknown,Finance & Banking
500,Bon(Bonfleet Solutions),Financial Services,Early Stage,2018,1138800.0,Pune,Unknown,Consulting & Services
501,Mamaearth,E-Commerce,Series (A-H),2018,4000000.0,Gurugram,Unknown,E-Commerce & Marketplace
502,BabyChakra,Child Care,Series (A-H),2018,121526423.72,Mumbai,Unknown,Other
503,Belstar Investment and Finance Private Limited,Financial Services,Unknown,2018,28000000.0,Chennai,Unknown,Consulting & Services
504,Naaptol,E-Commerce,Unknown,2018,15000000.0,Mumbai,Unknown,E-Commerce & Marketplace
505,Moonshine Meadery,Food and Beverage,Early Stage,2018,121526423.72,Pune,Unknown,Food & Agriculture
506,Verzeo,E-Learning,Series (A-H),2018,5000000.0,Bangalore,Unknown,Other
507,Haazri,Food and Beverage,Early Stage,2018,182500.0,Mumbai,Unknown,Food & Agriculture
508,Connect India,Delivery Service,Angel and Grants,2018,121526423.72,New Delhi,Unknown,Other
509,Flyrobe,Fashion,Series (A-H),2018,3854400.0,Mumbai,Unknown,Other
510,Scholify,Unknown,Early Stage,2018,121526423.72,Bangalore,Unknown,Other
511,Dream11,Fantasy Sports,Series (A-H),2018,100000000.0,Mumbai,Unknown,Other
512,srJna,Education,Early Stage,2018,121526423.72,Jaipur,Unknown,Other
513,Nykaa,Beauty,Latter Stage,2018,16498000.0,Mumbai,Unknown,Other
514,Chaayos,Food and Beverage,Series (A-H),2018,11826000.0,New Delhi,Unknown,Food & Agriculture
515,Heelium,Fitness,Early Stage,2018,121526423.72,Pune,Unknown,Other
516,LT Foods,Food and Beverage,Latter Stage,2018,20440000.0,New Delhi,Unknown,Food & Agriculture
517,Multibashi,E-Learning,Early Stage,2018,146000.0,Bangalore,Unknown,Other
518,Cleardekho,Eyewear,Unknown,2018,121526423.72,Ghaziabad,Unknown,Other
519,Dailyhunt,Information Technology,Series (A-H),2018,6000000.0,Bangalore,Unknown,Technology
520,SlicePay,FinTech,Series (A-H),2018,14900000.0,Bangalore,Unknown,Technology
521,Udaan,B2B,Series (A-H),2018,225000000.0,Bangalore,Unknown,Other
522,Happyeasygo Group,Tourism,Series (A-H),2018,121526423.72,Haryana,Unknown,Other
